FECHA DE CREACION,AUTOR,TEXTO,ANÁLISIS DE SENTIMIENTOS,POSITIVOS,NEGATIVOS,NEUTROS
Thu May 21 20:33:17 +0000 2020,elclubdecomerciantes,Mueren 8 presos por coronavirus en una carcel de Ecuador donde el 70 de los detenidos dio positivo a las pruebas Los reos que fueron diagnosticados con covid 19 seran sometidos a un segundo test tras superar la cuarentena Source Actual ,-1,,1,
Thu May 21 20:32:15 +0000 2020,iO - infOpinion, ATENCION El 70 de reos del Centro de Rehabilitacion de Ambato tienen coronavirus El director del centro carcelario confirmo que 420 de los 610 internos tienen COVID19 En un reporte inicial se conocio que 2 infectados por el virus fallecieron Ecuador COVID19Ecuador ,-1,,1,
Thu May 21 20:26:42 +0000 2020,Ricardo Hinojosa, El coronavirus no es mortal no tienen por que ponerse mascarillas con el animo de la prevencion No es necesario Mejor compren naranjas limon y frutas con vitamina C para mejorar el sistema inmunologico dijo hace un par de meses via elcomercio peru,-1,,1,
Thu May 21 20:20:00 +0000 2020,La Hora Ecuador, Ecuador La Nacionalidad Achuar confirmo ayer una docena de positivos para Covid 19 en sus comunidades Resolvio impedir el ingreso de avionetas y foraneos a sus territorios anunciaron varios dirigentes indigenas Mas detalles Coronavirus ,-1,,1,
Thu May 21 20:20:00 +0000 2020,Efecto Cocuyo, SepaQue Hablar de una reapertura de las actividades productivas en la provincia debe ser cuidadosa por las consecuencias que puede acarrear este tipo de decisiones dice la prefecta de la provincia de Pichincha en Ecuador Paola Pabon ,-1,,1,
Thu May 21 20:18:09 +0000 2020,Mario,La emergencia del coronavirus propicia la liberalizacion del precio de la gasolina en Ecuador via el pais,-1,,1,
Thu May 21 20:15:35 +0000 2020,Noticias American,SE CALIENTA LA CALLE EN ECUADOR SE DESATAN LAS PROTESTAS eeuu noticiasdeultimahora coronavirus noticiasecuador noticiasvenezuela SUSCRIBETE a Nuestro Canal NOTICIAS ECUADOR 21 DE MAYO 2020 PROTESTAS ULTIMA HORA EnVivo via YouTube,-1,,1,
Thu May 21 20:08:18 +0000 2020,StudioFutbol,REPORTE DEL 21 DE MAYO Coronavirus en Ecuador 35 306 contagiados 2 939 fallecidos ,0,,,1
Thu May 21 19:56:48 +0000 2020,Nawi Media, CovidAlDia CIFRAS DIARIAS DEL CORONAVIRUS EN ECUADOR 21 05 2020 Datos entregados por Riesgos Ec Estas son las cifras que ha arrojado el Covid19Ec Actualizadas del Jueves 21 de Mayo del 2020 en el pais NosCuidamosTodos JuntosNosCuidamos Covid19Ecuador ,0,,,1
Thu May 21 19:50:30 +0000 2020,Manel Ortega,El hacinamiento y confinamiento convierten muchos centros penitenciarios en zonas de alta transmision del Covid 19 En la prision de Ambato Ecuador 400 de los 600 reclusos han dado positivo por coronavirus ,0,,,1
Thu May 21 19:50:29 +0000 2020,CANELA TV, ECUADOR 68 DE LOS PRESOS EN CARCEL DE AMBATO TIENEN CORONAVIRUS Edmundo Moncayo director general del Servicio Nacional de Atencion Integral a Personas Adultas Privadas de la Libertad y a Adolescentes Infractores en declaraciones para la agencia AFP ,1,,,0
Thu May 21 19:45:45 +0000 2020,Antonio, Neme es tendencia en Ecuador que paso hubo otro caso de corrupcion y verguenza internacional QuedateEnCasa Covid 19 Quito Ecuador Guayaquil coronavirus ,-1,,1,
Thu May 21 19:43:08 +0000 2020,juan govea a,35 306 casos de covid 19 en Ecuador hay 4 819 personas fallecidas en el contexto del coronavirus ,0,,,1
Thu May 21 19:34:37 +0000 2020,Guayaco Farrero,Segun el informe del COE Nacional de este jueves 21 mayo de 2020 en Ecuador existen 35 306 casos confirmados y 42 392 casos descartados de Covid 19 coronavirus covid19 enfermedad coronavirusec emergenciasanitaria CoronavirusEnEcuador ,0,,,1
Thu May 21 19:30:03 +0000 2020,LA PATRIA DEBE CAMBIAR,NEOLIBERAL Mientras Ecuador se convierte en uno de los paises mas afectados por el coronavirus su presidente aprovecha la crisis para implementar un plan neoliberal de recortes y privatizaciones ,-1,,1,
Thu May 21 19:28:06 +0000 2020,Gabriel,Latam informo el despido 1 400 trabajadores en Chile Colombia Ecuador y Peru debido a la crisis economica producida al interior de la industria por la pandemia del nuevo coronavirus Las familias y funcionarios afectados piden a la empresa reconsiderar la medida ,-1,,1,
Thu May 21 19:22:18 +0000 2020,PLUSBURSATIL, PLBnews Ecuador en crisis economica por la pandemia de coronavirus cerrara embajadas y reducira personal diplomatico en Venezuela Mexico o Iran y eliminara empresas estatales en busca de ahorrar unos 4 000 millones de dolares anuales ,-1,,1,
Thu May 21 19:21:49 +0000 2020,infoloja,Actualizacion de casos de coronavirus en Ecuador 21 05 2020 08 00 35306 casos confirmados 2939 fallecidos por covid 1880 fallecidos con probable covid 42392 casos descartados 3638 casos con alta hospitalaria 10087 con alta epidemiologica ,0,,,1
Thu May 21 19:17:13 +0000 2020,Gustavo Vaca Trigo,Ecuador CFR 8 324 De confirmarse el dato resaltado el CFR de Ecuador estaria en 13 649 COVID19 coronavirus coronavirusEcuador Covid 19 COVID19Ecuador QuedateEnCasa Ecuador ,0,,,1
Thu May 21 19:15:08 +0000 2020,Gustavo Vaca Trigo,Situacion del COVID19 en Ecuador al 21 05 2020 actualizado a las 08h00 COVID19 coronavirus coronavirusEcuador Covid 19 COVID19Ecuador QuedateEnCasa Ecuador Rstats ,0,,,1
Thu May 21 19:13:27 +0000 2020,BIGDATA2110,COVID19 UPDATE 21 5 2020 Coronavirus Tasa de Letalidad en el Mundo Francia Reino Unido Italia Mexico Espana Ecuador Nicaragua Brasil Suiza EE UU China Honduras Argentina Cuba COVID ,0,,,1
Thu May 21 19:05:15 +0000 2020,Innovaspain, AgendaCAF publica LogisticaUrbanaSostenibleySegura que se basa en experiencias piloto en Brasil Colombia Ecuador y Argentina movilidad mercancias COVID19 Coronavirus,0,,,1
Thu May 21 18:59:31 +0000 2020,Robinson Robles Villaverde ,Hispantv En Ecuador denuncian a Gobierno por su gestion de la pandemia EcuadorEnEmergencia LaVerdadNoMata NoALaPrecarizacionLaboral,-1,,1,
Thu May 21 18:59:16 +0000 2020,elambito,Sudamerica se convierte en el nuevo epicentro del coronavirus y acapara la atencion mundial Brasil con casi 19 mil muertes es el pais mas afectado en America Latina seguido por Peru y Ecuador Leer Mas ,0,,,1
Thu May 21 18:52:58 +0000 2020,BIGDATA2110,COVID19 UPDATE 21 5 2020 Coronavirus Casos Activos en el Mundo EEUU Rusia Brasil Espana Francia India Italia Peru Chile Ecuador Colombia Mexico Argentina Panama ,0,,,1
Thu May 21 18:45:46 +0000 2020,jacvvader,En Ecuador muchos andan asi con o sin coronavirus poco hacen por sus electores ,-1,,1,
Thu May 21 18:45:20 +0000 2020,Mic*DeDerecha,ATENCION CHARLATAN HUERTA Coronavirus en Ecuador Violeta Avila muere concejala que aseguro que no era necesario usar mascarilla para el Covid 19 Manta VIDEO TWITTER EEUU El Comercio Peru ,-1,,1,
Thu May 21 18:45:08 +0000 2020,Manavision Canal 9, ACTUALIZACION 2 939 personas han muerto en Ecuador por coronavirus 357 de ellas en Manabi ,0,,,1
Thu May 21 18:44:50 +0000 2020,Carlos Malamud,Tal como lo venia proponiendo g escribano desde hace tiempo La emergencia del coronavirus y los bajos precios del petroleo propicia la liberalizacion del precio de la gasolina en Ecuado EquipoElcanor cc rielcano via el pais,-1,,1,
Thu May 21 18:41:37 +0000 2020,ecuasports,EL FUTBOL EN ECUADOR RETOMA PARTIDOS PENDIENTES POR EL CORONAVIRUS Nota ,0,,,1
Thu May 21 18:40:39 +0000 2020,Guillermo Flores Borda,No hay que escuchar a los negacionistas ,-1,,1,
Thu May 21 18:40:34 +0000 2020,Oliver Soto Landivar y OLI FIGURAS DE ACCION,y no olvida pedritoortizjr que tambien fue estelarista en wrestlemania haciendo pareja con HulkHogan coronavirus covid19 ecuador ,0,,,1
Thu May 21 18:34:29 +0000 2020,El Comercio,Muere concejala de Ecuador que recomendo no usar mascarilla y mejor comprar naranjas y limones para combatir el coronavirus ,-1,,1,
Thu May 21 18:30:52 +0000 2020,Revista Vistazo,Dos solicitudes de juicio politico enfrenta el ministro de Economia y Finanzas Richard Martinez en relacion a su accionar frente a la pandemia de coronavirus en Ecuador ENTERESE ,-1,,1,
Thu May 21 18:30:30 +0000 2020,SoyUnBosque,albertomarchg Que alguien le avise que en Espana o Francia el coronavirus ya estaba dos meses instalado en la poblacion En Guayaquil y en Ecuador ya TODOS sabian lo que se venia y NADIE hizo nada Ignorante y demagogo ,-1,,1,
Thu May 21 18:30:04 +0000 2020,Manavision Canal 9, ACTUALIZACION En la provincia de Manabi se registran 1 751 personas contagiadas por coronavirus ,0,,,1
Thu May 21 18:26:32 +0000 2020,Ecupunto, ULTIMAHORA Ecuador en cifras mas de 35 mil infecciones y casi 5 000 muertes por coronavirus 21May FelizJueves Covid19Ecuador Covid19 Ec Salud Ec DrJuanCZevallos ,-1,,1,
Thu May 21 18:22:58 +0000 2020,SERGIOrunning,Tanto que hablas de Corrupcion en Ecuador Lenin ya pues les toca ayudar tambien a ellos LassoGuillermo Covid 19 coronavirus medidaseconomicas En vez de quitarle dinero al pueblo RichardM A rata delincuentes ladrones ,-1,,1,
Thu May 21 18:16:34 +0000 2020,Canaveral 96.1 Radio Publica, CanaveralNoticias 35 306 contagiados y 4 819 personas fallecidas en el contexto del coronavirus hay en Ecuador ,0,,,1
Thu May 21 18:10:45 +0000 2020,CANELA TV, ECUADOR Segun el Gobierno Nacional estas son las cifras del coronavirus COVID19 en ECUADOR 35306 CONTAGIADOS 4 819 FALLECIDOS 2939 FALLECIDOS CONFIRMADOS CON COVID19 1880 FALLECIDOS PROBABLES CON CORONAVIRUS ,0,,,1
Thu May 21 18:09:49 +0000 2020,Mundo El Comercio,Muere concejala de Ecuador que recomendo no usar mascarilla para el coronavirus ,-1,,1,
Thu May 21 18:07:02 +0000 2020,Cesar Moreno, AHORA coronavirus COVID19 La ONU lanza VERIFIED una herramienta para poner freno a las fake news con informacion sanitaria verificada OMS informa un record de 160 000 nuevos casos globales en un solo dia Ecuador 34 854 casos 4 693 muertos entre confirmados y probables,0,,,1
Thu May 21 18:03:20 +0000 2020,Alex Calero, URGENTE Producto de la crisis economica que se vive en el Ecuador por el coronavirus varios ciudadanos estan prestando dinero a chulqueros Maria es una de las que hicieron uno de estos prestamos pero ahora ella teme por su vida MeEntretengoCon 21Mayo ,-1,,1,
Thu May 21 18:03:18 +0000 2020,La Izquierda Diario Costa Rica,Siguen creciendo los contagios enfermos graves y muertos en Sudamerica Ecuador EcuadorEnCrisis Peru Brasil Argentina Chile Bolivia Pandemia crisissanitaria COVID19 COVID19 CORONAVIRUS contagios propagacion ,-1,,1,
Thu May 21 17:58:46 +0000 2020,Ecuador Noticias, URGENTE El numero de casos confirmados de coronavirus en Ecuador sube a 35 306 Y se reporta un total de 4 819 muertos entre confirmados y probables de Covid 19 Ecuador CoronavirusEnEcuador ,-1,,1,
Thu May 21 17:48:04 +0000 2020,ALER NOTICIAS, Chile Protesta falta de trabajo y alimentos Vacuna COVID19 de interes publico Asamblea opsoms Cuba Nuevos tratamientos coronavirus Ecuador Comunidades indigenas Amazonia en alarma Peru Congreso sanciones especulacion medicinas ContactoSur ,0,,,1
Thu May 21 17:44:47 +0000 2020,HablaEcuador,Este jueves 21 de mayo Ecuador registra 35 306 casos positivos y 2 929 fallecidos por covid 19 y 1 880 decesos probables por coronavirus ,0,,,1
Thu May 21 17:41:09 +0000 2020,multimpactos radio,35 306 casos confirmados de coronavirus en Ecuador ,0,,,1
Thu May 21 17:38:14 +0000 2020,Radio Huancavilca 830AM, ATENCION 35 306 casos de covid 19 en Ecuador hay 4 819 personas fallecidas en el contexto del coronavirus MAS DETALLES AQUI ,0,,,1
Thu May 21 17:36:30 +0000 2020,El Oriente,Ecuador de los paises que menos invierte en la lucha contra el coronavirus ,-1,,1,
Thu May 21 17:36:03 +0000 2020,Diario El Mercurio,Aumenta el numero de casos positivos por coronavirus en el pais mercurioec ,0,,,1
Thu May 21 17:33:30 +0000 2020,elclubdecomerciantes,Ecuador supera los 35 000 contagios por coronavirus y la cifra de fallecidos se eleva a 4 819 entre confirmados y probables En las ultimas 24 horas se confirmaron 126 muertes mas asociadas a la pandemia Source Actualidad ,0,,,1
Thu May 21 17:33:20 +0000 2020,MarketingActivo, COVID19 Cifras actualizadas en Ecuador Y AmericaLatina que sobrepasa a Europa y EE UU con la mayor cantidad de casos diarios por coronavirus COVID19EC QuedateEnCasa ActivadosPorLaSalud PrevencionEsSalud ,0,,,1
Thu May 21 17:32:27 +0000 2020,America Digital Noticias, VIDEO El rapido aumento de los casos de coronavirus en paises como Brasil Peru y Ecuador ha hecho que las miradas de las autoridades sanitarias del mundo se concentren en Suramerica ,0,,,1
Thu May 21 17:31:39 +0000 2020,Primicias,Una delegacion de 120 personas tuvo Ecuador en los Juegos Militares realizados en Wuhan el evento donde habria empezado el esparcimiento del coronavirus ,0,,,1
Thu May 21 17:29:37 +0000 2020,Radio Ciudad 101.7FM, Ambato Casi el 70 de los 600 presos de una carcel en Ecuador da positivo por coronavirus ,-1,,1,
Thu May 21 17:27:50 +0000 2020,Primicias, ATENCION El 56 de las personas contagiadas con coronavirus en Ecuador tiene entre 20 y 49 anos segun la informacion oficial La mayor cantidad de casos sigue registrandose en Guayas COVID19 ,-1,,1,
Thu May 21 17:24:51 +0000 2020,Alberto Alberti,DiosaLuchadora Huye corrE escapate esmachetate pero salva tu vida y busca refugio en Peru Colombia Brazil Ecuador o Chile Ahora si tienes visa te recomiendo que por fin te vaya para ese maravilloso pais y trates de conseguir tu AMERICAN DREEN ayyyyyy cono se me olvido el coronavirus ,-1,,1,
Thu May 21 17:23:58 +0000 2020,Primicias, ATENCION En Ecuador han fallecido 2 939 personas por coronavirus Hay 1 880 fallecidos probables COVID19 ,0,,,1
Thu May 21 17:22:21 +0000 2020,Bella,Muere de coronavirus en Ecuador una concejala que aconsejaba no usar mascarillas y decia que no era mortal No gasten su dinero en comprar mascarillas mejor compren naranjas ,-1,,1,
Thu May 21 17:20:49 +0000 2020,Primicias, ATENCION Hasta hoy se ha confirmado que 3 536 personas se han recuperado y se ha descartado que 42 392 esten contagiadas de coronavirus en Ecuador Se ha dado el alta hospitalaria a 3 638 personas COVID19 ,0,,,1
Thu May 21 17:20:42 +0000 2020,ManabiNoticias, CHISTE ECUADOR Neme El coronavirus es como los cachos Algunos lo han tenido y no saben que lo tuvieron otros lo estan teniendo y no lo saben Lo unico seguro es que manana no sabemos si lo vamos a tener ,1,1,,
Thu May 21 17:18:29 +0000 2020,Patricia Armijo, ACTUALIZACION l Estas son las cifras en torno al coronavirus en Ecuador 35306 confirmados 2939 fallecidos Covid 19 1880 fallecidos probable coronavirus 3536 recuperados 3638 alta hospitalaria 10087 alta epidemiologica Via ,0,,,1
Thu May 21 17:17:58 +0000 2020,Khris,Los presidentes de Peru Ecuador Honduras y que pidiendole al bobolongo de Guaido que los ayude a contener el coronavirus como lo ha hecho en Venezuela GuaidoCDTM,0,,,1
Thu May 21 17:16:26 +0000 2020,El Noticiero, ATENCION Hay 2 939 victimas mortales por Covid 19 en Ecuador Detalles aqui ,0,,,1
Thu May 21 17:16:12 +0000 2020,TC Television, BALANCE En Ecuador hasta la manana de este jueves se han confirmado 35 306 casos positivos de COVID 19 El numero de fallecidos subio a 2 939 Las provincias con mas muertes registradas Guayas Manabi Pichincha y Santa Elena Mas detalles en ,0,,,1
Thu May 21 17:15:36 +0000 2020,Alexis Medina ,Santiago Ortiz sobre la situacion del Ecuador El coronavirus ha producido un nuevo cambio en la politica ecuatoriana La coyuntura actual es un shock que profundiza el autoritarismo y la escalada neoliberal ,-1,,1,
Thu May 21 17:15:26 +0000 2020,Primicias, ATENCION Hay 35 306 casos de coronavirus confirmados en Ecuador COVID19 ,0,,,1
Thu May 21 17:12:49 +0000 2020,TC Television, CIFRAS Ecuador registra 35 306 casos de COVID 19 El Ministerio de Salud Publica entrego la cifra actualizada de personas contagiadas de Coronavirus en el pais Se detallo ademas que se han realizado 101 580 pruebas Mas detalles AQUI ,-1,,1,
Thu May 21 17:09:49 +0000 2020,Teleamazonas, Ecuador registra 2939 muertos por coronavirus y 1880 fallecidos probables por COVID19 gt ,0,,,1
Thu May 21 17:08:46 +0000 2020,Tere Menendez, Ustedes tambien dejaron de difundir las cifras oficiales sobre fallecidos y contagiados de coronavirus COVID19 en Ecuador Luego de saber que 420 de 600 PPL de la carcel de Ambato dieron positivo y que de ese grupo murieron 2 ya no se si confiar ,-1,,1,
Thu May 21 17:06:44 +0000 2020,Complice FM, Ecuador 35 306 casos de covid 19 en Ecuador hay 4 819 personas fallecidas en el contexto del coronavirus ,0,,,1
Thu May 21 17:06:29 +0000 2020,Telenoticias21 GMV, AlertaCOVID19 El Ministerio de Salud Publica de Ecuador informo este jueves que el numero de contagiados por coronavirus se elevo a 35 306 tras confirmarse 452 nuevos casos en las ultimas 24 horas ,-1,,1,
Thu May 21 17:06:09 +0000 2020,Ecuavisa,ATENCION COVID19 en Ecuador 35 306 casos confirmados 2 939 muertes y 1 880 fallecidos probables por el virus Hasta el momento se han tomado a nivel nacional 101 580 muestras para coronavirus ,0,,,1
Thu May 21 17:04:49 +0000 2020,EL SHOW DEL GITANO, ECUADOR Se registran 35 306 casos confirmados de covid 19 en Ecuador asi lo confirmo el Comite de Operaciones Especiales COE en su boletin 84 de este 21 de mayo 4 819 personas han fallecido en el pais en el contexto del coronavirus Coronavirus Contagios ElShowDelGitano ,0,,,1
Thu May 21 17:01:46 +0000 2020,Jose Mantilla,larepublica pe Este tipo ni medico deberia ser que todos los medicos sigan el protocolo actual que usan medicos en el Ecuador con el dioxido de cloro y no solo curaran el coronavirus sino otras mas que puedan tener los pacientes Abran los ojos hay muchos intereses de las grandes farmaceuticas,1,1,,
Thu May 21 16:58:50 +0000 2020,Diario Expreso,En la lista por provincias Guayas sigue a la cabeza con 13 482 casos confirmados Le sigue Pichincha con 3 054 casos y 239 fallecidos y Manabi con 1 751 personas contagiadas con el nuevo virus ,0,,,1
Thu May 21 16:58:45 +0000 2020,Fabiana Ortega F.,Sudamerica luce como el nuevo epicentro mundial del CoronaVirus Los paises con mayores contagios son Brasil Ecuador Peru Mexico y Colombia La OMS informo que este miercoles 20May fue el dia con mas contagios en el mundo ,0,,,1
Thu May 21 16:55:27 +0000 2020,El Universo,12 767 vidas se perdieron entre marzo y abril en Ecuador por encima del nivel historico Guayas 11 321 Santa Elena 763 y Manabi 579 Es el verdadero saldo del coronavirus Consulte todas las provincias en paulmenam,0,,,1
Thu May 21 16:52:56 +0000 2020,Pichincha Comunicaciones,MinutoPichincha UltimaHora Se registran 35306 casos confirmados de coronavirus en Ecuador ,0,,,1
Thu May 21 16:50:11 +0000 2020,Nica Noticias, RTA Ecuador supera los 35 000 contagios por coronavirus y la cifra de fallecidos se eleva a 4 819 entre confirmados y probables En las ultimas 24 horas se confirmaron 452 nuevos diagnosticos positivos ,0,,,1
Thu May 21 16:49:17 +0000 2020,Metro Ecuador, MetroNoticias Actualizacion de cifras de contagiados y fallecidos por COVID19 en Ecuador ,0,,,1
Thu May 21 16:47:15 +0000 2020,Diario Expreso,Las cifras actualizadas del avance del coronavirus en Ecuador registran hoy jueves 21 de mayo 35 306 casos confirmados en el pais y 2 939 personas fallecidas ,0,,,1
Thu May 21 16:46:26 +0000 2020,Paul Mena Mena,12 767 vidas se perdieron entre marzo y abril en Ecuador por encima del nivel historico Guayas 11 321 Santa Elena 763 Manabi 579 Es el verdadero saldo del coronavirus Consulte todas las provincias en esta visualizacion de eluniversocom ,-1,,1,
Thu May 21 16:42:36 +0000 2020,deadFreak781: Un Friki Incomodo, DFRK 784 Rebrote de Coronavirus en Ecuador Uncensored Leak ,-1,,1,
Thu May 21 16:37:28 +0000 2020,David Ortega, COVID19Ecuador El Director que administra las prisiones en la ciudad de Ambato confirma que el 70 de prisioneros esta infectado por la enfermedad Es una situacion muy critica Mas informacion en el siguiente link ,-1,,1,
Thu May 21 16:34:41 +0000 2020,radio colosal,Derrame petrolero e inundaciones las otras afectaciones a comunidades indigenas de la Amazonia de Ecuador ya en alarma por el coronavirus ,0,,,1
Thu May 21 16:22:01 +0000 2020,Xavier El Trinador,N L Saki eluniversocom CONAIE Ecuador Una de esas universidades publicas y que no estan en Guayaquil inicio hace un mes investigaciones para descubrir el ADN del coronavirus y hasta creo tecnologia para procesar pruebas de coronavirus ,1,1,,
Thu May 21 16:14:57 +0000 2020,Izquierda Diario MX,Brasil Peru y Ecuador ocupan los primeros lugares en contagios y fallecimientos de coronavirus ,-1,,1,
Thu May 21 16:11:54 +0000 2020,Uvk Jorg,Minsa Peru canalN larepublica pe noticias tvperu Agencia Andina Ecuador compro hidroxicloroquina y azitromicina y las distribuyeron de inmediato entre los hospitales publicos y privados autorizados a tratar el coronavirus e importaron equipos de seguridad y se los dieron al Sector Salud al que atiende en los mercados recoge la basura etc,0,,,1
Thu May 21 16:05:28 +0000 2020,Conekta21,He publicado un episodio en ivoox COVID 19 Ecuador Mas de 100 Casos de Covid 19 recuperados con CDS Andreas Kalcker 2 audios 18 5 2020 Coronavirus podcast ,0,,,1
Thu May 21 16:03:32 +0000 2020,Ecupunto, ATENCION Suramerica capto la atencion mundial por registrar 106 mil contagios por coronavirus en un dia 21May FelizJueves Covid19 Brasil Peru Ecuador DrTedros opsoms ,0,,,1
Thu May 21 15:45:51 +0000 2020,Esteban Villamar,eluniversocom CONAIE Ecuador Para eso es lo unico que sirven para salir a joder En el ParoNacionalEcuador de octubre pasado ya causaron millones en perdidas y siguen FiscaliaEcuador mariapaularomo palo para estos Ya suficiente tenemos con el coronavirus y su crisis ,-1,,1,
Thu May 21 15:40:00 +0000 2020,Efecto Cocuyo, SepaQue DirOPSPAHO hizo sonar la alarma sobre la situacion en la Amazonia que alberga mas de 2 400 territorios indigenas en ocho paises Brasil Peru Colombia Bolivia Ecuador Venezuela Guyana y Surinam ,-1,,1,
Thu May 21 15:30:03 +0000 2020,ideasparapadres,Las mejores historias avaladas por UNICEF para poder hablar correctamente con nuestros ninos sobre el coronavirus ya estan disponibles para tu descarga puedes encontrarlos en este link ,1,1,,
Thu May 21 15:20:46 +0000 2020,Andres Michelena,Junto a varios ministros de la region compartimos la experiencia del Ecuador en el uso de las herramientas digitales en el combate al coronavirus y el funcionamiento del mundo post Covid La necesidad de la tecnologia y la conectividad de personas cosas y territorios ,0,,,1
Thu May 21 15:09:18 +0000 2020,Reporte Ya, 21May Coronavirus Ecuador El presidente Lenin Moreno anuncio nuevas medidas economicas por la emergencia sanitaria y tras haber confirmado mas de 9 140 casos confirmados en el pais vivoplaynet,-1,,1,
Thu May 21 14:59:32 +0000 2020,Vision TV, Pais Las exportaciones no petroleras tuvieron un fuerte descenso de ingresos en abril mes en el que sintio con mas impacto la pandemia del coronavirus pese a que el comercio exterior fue uno de los sectores que estuvo operativo senalo ministro de Produccion IvanOntaneda ,-1,,1,
Thu May 21 14:57:48 +0000 2020,FernandaCamino,El lunes 25DeMayo CELAGeopolitica realizara en Facebook live un debate protagonizado por el ex presidente de Ecuador Rafael Correa el ex vicepresidente Amado Boudou y el ex ministro de Economia Luis Arce No se lo pierdan ,0,,,1
Thu May 21 14:50:21 +0000 2020,BASC Guayaquil,Ante la declaratoria del Estado de Emergencia Sanitaria y en el marco de las medidas anunciadas por el COE Nacional para evitar y prevenir la transmision del coronavirus en Ecuador la Agencia Nacional de Transito ANT emitio un Protocolo de Seguridad ,-1,,1,
Thu May 21 14:46:54 +0000 2020,Rodolfo / VOLVIM[?]S,Violeta Avila medica pedriata y concejala en Ecuador le decia a la ciudadania que el coronavirus no es mortal y recomendo no usar mascarillas MURIO DE Covid 19 victima de la desidia y de su propia estupidez Fue responsable del contagio y muerte de miles de ecuatorianos ,-1,,1,
Thu May 21 14:45:24 +0000 2020,Edgar Romero G.,Derrame petrolero e inundaciones las afectaciones a comunidades indigenas de la Amazonia de Ecuador ya en alarma por el coronavirus CONAIE Ecuador AFrontlines confeniae1 JConfeniae WaoResistencia Sarayaku Libre inredh1 AmnistiaOnline coicaorg ,-1,,1,
Thu May 21 04:43:53 +0000 2020,IVAN GARCIA MAYER,Guayaquil vuelve a la vida despues de dos dramaticos meses de cuarentena por el coronavirus FOTOS COVID19 Covid 19 via elcomercio peru,1,1,,
Thu May 21 01:22:03 +0000 2020,David Col. Sch,El premio en Ecuador a los medicos q batallaron con el Coronavirus enfermeras y personal es el despido a su casa q les importa la familia Mientra q los vagos h de p de los diputados con sueldo de 5000 dolares roban sin trabajar sin resolver los problemas ,-1,,1,
Thu May 21 01:05:03 +0000 2020,EP Internacional,El BID aprueba un credito de 250 millones para mitigar el impacto de la pandemia del coronavirus en Ecuador ,1,1,,
Wed May 20 22:15:21 +0000 2020,Diario El Bocon,Gobierno ecuatoriano da luz verde para el reinicio del futbol en el pais norteno ,1,1,,
Wed May 20 21:06:05 +0000 2020,Fundacion Raiz - Ecuador, Ecuador te necesita Un enorme agradecimiento a UKSoSEcuador por esta campana para ayudar a tantos ecuatorianos en necesidad a causa de la crisis sanitaria por el Coronavirus Cada donacion suma de gran manera ,1,1,,
Wed May 20 20:48:00 +0000 2020,Daniel,Aprobado el protocolo para el futbol de Ecuador para minimizar riesgos por la pandemia del coronavirus La Liga Pro confirmo que a partir del 8 de junio los equipos podran volver a trabajar en sus instalaciones ,1,1,,
Wed May 20 18:28:30 +0000 2020,Pasion Desde Las Gradas,De igual manera se aprobo el protocolo de salud en el cual incluye que todos los jugadores deberan realizarse pruebas rapidas antes de cada compromiso durante todo el campeonato 2020 LigaProBancoPichincha serieA ligaproec protocolo futbol ecuador coronavirus pdlg,1,,,
Wed May 20 18:28:23 +0000 2020,Alejandro Alvarez ,En Ecuador se ha descubierto una de las mas grandes redes de corrupcion aprovechandose de la emergencia por Coronavirus del Gobierno encabezado por Lenin Moreno pero aqui tienen las entidades fiscalizadoras entre ellas los medios de comunicacion secuestradas y no pasa nada ,-1,,1,
Wed May 20 17:11:39 +0000 2020,Camilla Gomez, BuenosDias FelizMiercoles En Quito Ecuador la capacidad de disenar nuevas vacunas es espectacular Hay mas de ocho proyectos contra el nuevo coronavirus ,1,1,,
Wed May 20 12:10:08 +0000 2020,p@(r)(c)eL@, El gobierno del presidente ecuatoriano Lenin Moreno recortara cuatro mil millones de dolares del gasto publico como medida para enfrentar el abismo economico que vive su pais y la pandemia del coronavirus ,1,1,,
Wed May 20 11:45:52 +0000 2020,Vatican News, Mensaje de los obispos de Ecuador Indignacion por la pandemia de la corrupcion en un Estado que hoy se encuentra sobre endeudado e incapaz de cumplir con sus obligaciones de salud educacion trabajo y seguridad Coronavirus VaticanNews ,-1,,1,
Wed May 20 11:41:16 +0000 2020,Orlando Reyes Orta,El Diputado Guaido Recibiendo consejo del Inepto Lenin Moreno Mas Despreciable del Ecuador como atacar el Coronavirus y Conformar un Gobierno de Emergencia Nacional en Venezuela Los Hermanos Ecuatoriano necesitan ayuda MashiRafael Tu Liderazgo lo necesita tu Pueblo ,-1,,1,
Wed May 20 11:40:00 +0000 2020,TSiHonduras,El presidente de Ecuador Lenin Moreno anuncio la manana del martes 19 de mayo las nuevas medidas de ahorro que ayudaran a sobrellevar la crisis del coronavirus ,1,1,,
Wed May 20 10:54:04 +0000 2020,NoticiasMundiOnline (Oel Fernandez),GASOLINA CON NUEVOS PRECIOS Bajan gasolina extra y diesel en nuevo sistema de precios en Ecuador EEUU MEXICO noticiasdeultimahora coronavirus noticiasecuador noticiasvenezuela NOTICIAS ECUADOR 20 DE MAYO 2020 ULTIMA HORA EnVivo via YouTube,1,1,,
